word,Length,Syllables,Compound,Number of Vowels,Frequency,Silent Letters,Regular Plural,Irregular Plural,Syll/Vowels,Length/Syll,Vow/Length,PhonicLength,PL-L,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
back,4,1,0,1,6.27,0,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bake,4,1,0,2,3.74,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
meat,4,1,0,2,4.73,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beaches,7,2,0,3,4.71,0,0,1,0.666666667,3.5,0.428571429,3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben,3,1,0,1,4.78,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
big,3,1,0,1,5.78,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pope,4,1,0,2,4.11,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brown,5,1,0,1,4.54,0,0,0,1,5,0.2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mine,4,1,0,2,5.39,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bun,3,1,0,1,3.73,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sack,4,1,0,1,4.1,0,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black,5,1,0,1,5.25,0,0,0,1,5,0.2,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crack,5,1,0,1,4.41,0,0,0,1,5,0.2,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brake,5,1,0,2,3.91,0,0,0,0.5,5,0.4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
cake,4,1,0,2,4.66,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
lake,4,1,0,2,4.55,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
rake,4,1,0,2,3.37,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
feet,4,1,0,2,5.04,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweet,5,1,0,2,5.13,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wheat,5,1,0,2,3.68,1,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peaches,7,2,0,3,3.71,0,0,1,0.666666667,3.5,0.428571429,3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
men,3,1,0,1,5.5,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hen,3,1,0,1,3.59,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ten,3,1,0,1,5.15,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pig,3,1,0,1,4.64,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rope,4,1,0,2,4.29,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
soap,4,1,0,2,4.18,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
town,4,1,0,1,5.24,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
clown,5,1,0,1,4.13,0,0,0,1,5,0.2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
crown,5,1,0,1,4.13,0,0,0,1,5,0.2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wine,4,1,0,2,4.84,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pine,4,1,0,2,3.82,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nine,4,1,0,2,4.81,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gun,3,1,0,1,5.22,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nun,3,1,0,1,3.87,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun,3,1,0,1,5.02,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bushes,6,2,0,2,4.39,0,0,1,1,3,0.333333333,3,-3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
cages,5,2,0,2,4.14,0,1,0,1,2.5,0.4,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
cloak,5,1,0,2,3.46,0,0,0,0.5,5,0.4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cold,4,1,0,1,5.18,0,0,0,1,4,0.25,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cream,5,1,0,2,4.63,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cub,3,1,0,1,3.47,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
day,3,1,0,2,5.95,0,0,0,0.5,3,0.666666667,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dish,4,1,0,1,4.15,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
dome,4,1,0,2,3.55,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
donkey,6,2,0,3,4.11,0,0,0,0.666666667,3,0.5,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
brushes,7,2,0,2,4.11,0,0,1,1,3.5,0.285714286,4,-3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
pages,5,2,0,2,4.5,0,1,0,1,2.5,0.4,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
oak,3,1,0,2,3.63,0,0,0,0.5,3,0.666666667,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
yolk,4,1,0,2,2.83,1,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
smoke,5,1,0,2,4.92,0,0,0,0.5,5,0.4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gold,4,1,0,1,4.84,0,0,0,1,4,0.25,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bald,4,1,0,1,4.51,0,0,0,1,4,0.25,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
steam,5,1,0,2,3.91,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tub,3,1,0,1,3.9,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
