w1a,w1b,w1c,w1d,w1e,w1f,w1g,w1h,w1i,w1j,w1k,w1l,w1m,w1n,w1o,w1p,w1q,w1r,w1s,w1t,w1u,w1v,w1w,w1x,w1y,w1z,w1aa,w1ab,w2a,w2b,w2c,w2d,w2e,w2f,w2g,w2h,w2i,w2j,w2k,w2l,w2m,w2n,w2o,w2p,w2q,w2r,w2s,w2t,w2u,w2v,w2w,w2x,w2y,w2z,w2aa,w2ab,class
4,1,0,2,4.71,0,0,0,0.5,4,0.5,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,4.78,0,0,0,1,3,0.333333333,11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,1,0,2,5.15,0,0,0,0.5,5,0.4,0,3,-2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,4.57,0,0,0,1,4,0.25,44,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,4,0,4,3.1,0,0,0,1,2.5,0.4,0,13,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,7,2,0,2,4.8,0,0,0,1,3.5,0.285714286,0,5,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
9,3,0,4,4.53,0,0,1,0.75,3,0.444444444,0,7,-2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,1,0,3,4.23,0,0,0,0.333333333,5,0.6,0,3,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,2,0,2,4.8,0,0,0,1,3.5,0.285714286,0,5,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,1,4.34,0,0,0,1,4,0.25,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,2,0,2,5.27,0,0,0,1,2,0.5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,3.82,0,0,0,1,4,0.25,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,2,1,4,3.8,0,0,0,0.5,4,0.5,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,2,5.2,0,1,0,0.5,5,0.4,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0,1,5.95,0,0,0,1,5,0.2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,3.58,0,0,0,1,3,0.333333333,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,1,4.1,0,0,0,1,4,0.25,24,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,3.63,0,0,0,0.5,3,0.666666667,77,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,1,0,1,5.47,0,0,0,1,4,0.25,37,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3.96,0,0,0,1,4,0.25,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
